date,snapshot_type,security,jq_quantity,alignment_status
2026-06-09,END_OF_DAY,600455.XSHG,3400,JQ_POSITION
2026-06-09,END_OF_DAY,600493.XSHG,13800,JQ_POSITION
2026-06-09,END_OF_DAY,600561.XSHG,15000,JQ_POSITION
2026-06-09,END_OF_DAY,600697.XSHG,4700,JQ_POSITION
2026-06-09,END_OF_DAY,603879.XSHG,14200,JQ_POSITION
2026-06-10,END_OF_DAY,300405.XSHE,5600,JQ_POSITION
2026-06-10,END_OF_DAY,300417.XSHE,5500,JQ_POSITION
2026-06-10,END_OF_DAY,300535.XSHE,5600,JQ_POSITION
2026-06-10,END_OF_DAY,300605.XSHE,4800,JQ_POSITION
2026-06-10,END_OF_DAY,300886.XSHE,700,JQ_POSITION
2026-06-10,END_OF_DAY,300929.XSHE,7500,JQ_POSITION
2026-06-10,END_OF_DAY,301098.XSHE,6100,JQ_POSITION
2026-06-10,END_OF_DAY,301167.XSHE,6000,JQ_POSITION
2026-06-10,END_OF_DAY,600455.XSHG,3400,JQ_POSITION
2026-06-10,END_OF_DAY,600493.XSHG,13800,JQ_POSITION
2026-06-10,END_OF_DAY,600561.XSHG,15000,JQ_POSITION
2026-06-10,END_OF_DAY,600697.XSHG,4700,JQ_POSITION
2026-06-10,END_OF_DAY,603879.XSHG,14200,JQ_POSITION
2026-06-11,END_OF_DAY,300405.XSHE,5600,JQ_POSITION
2026-06-11,END_OF_DAY,300417.XSHE,5500,JQ_POSITION
2026-06-11,END_OF_DAY,300535.XSHE,5600,JQ_POSITION
2026-06-11,END_OF_DAY,300605.XSHE,4800,JQ_POSITION
2026-06-11,END_OF_DAY,300886.XSHE,700,JQ_POSITION
2026-06-11,END_OF_DAY,300929.XSHE,7500,JQ_POSITION
2026-06-11,END_OF_DAY,301098.XSHE,6100,JQ_POSITION
2026-06-11,END_OF_DAY,301167.XSHE,6000,JQ_POSITION
2026-06-11,END_OF_DAY,600455.XSHG,3400,JQ_POSITION
2026-06-11,END_OF_DAY,600493.XSHG,13800,JQ_POSITION
2026-06-11,END_OF_DAY,600561.XSHG,15000,JQ_POSITION
2026-06-11,END_OF_DAY,600697.XSHG,4700,JQ_POSITION
2026-06-11,END_OF_DAY,603879.XSHG,14200,JQ_POSITION
2026-06-12,END_OF_DAY,300405.XSHE,8300,JQ_POSITION
2026-06-12,END_OF_DAY,300417.XSHE,5800,JQ_POSITION
2026-06-12,END_OF_DAY,300535.XSHE,5600,JQ_POSITION
2026-06-12,END_OF_DAY,300605.XSHE,6400,JQ_POSITION
2026-06-12,END_OF_DAY,300886.XSHE,700,JQ_POSITION
2026-06-12,END_OF_DAY,300929.XSHE,7500,JQ_POSITION
2026-06-12,END_OF_DAY,301098.XSHE,3900,JQ_POSITION
2026-06-12,END_OF_DAY,301167.XSHE,6000,JQ_POSITION
2026-06-12,END_OF_DAY,600455.XSHG,3400,JQ_POSITION
2026-06-12,END_OF_DAY,600493.XSHG,13900,JQ_POSITION
2026-06-12,END_OF_DAY,600561.XSHG,15000,JQ_POSITION
2026-06-12,END_OF_DAY,600697.XSHG,3200,JQ_POSITION
2026-06-12,END_OF_DAY,603879.XSHG,14100,JQ_POSITION
2026-06-15,END_OF_DAY,300405.XSHE,8300,JQ_POSITION
2026-06-15,END_OF_DAY,300417.XSHE,5800,JQ_POSITION
2026-06-15,END_OF_DAY,300535.XSHE,5600,JQ_POSITION
2026-06-15,END_OF_DAY,300605.XSHE,6400,JQ_POSITION
2026-06-15,END_OF_DAY,300886.XSHE,700,JQ_POSITION
2026-06-15,END_OF_DAY,300929.XSHE,7500,JQ_POSITION
2026-06-15,END_OF_DAY,301098.XSHE,3900,JQ_POSITION
2026-06-15,END_OF_DAY,301167.XSHE,6000,JQ_POSITION
2026-06-15,END_OF_DAY,600455.XSHG,3400,JQ_POSITION
2026-06-15,END_OF_DAY,600493.XSHG,13900,JQ_POSITION
2026-06-15,END_OF_DAY,600561.XSHG,15000,JQ_POSITION
2026-06-15,END_OF_DAY,600697.XSHG,3200,JQ_POSITION
2026-06-15,END_OF_DAY,603879.XSHG,14100,JQ_POSITION
2026-06-16,END_OF_DAY,300405.XSHE,8300,JQ_POSITION
2026-06-16,END_OF_DAY,300417.XSHE,5800,JQ_POSITION
2026-06-16,END_OF_DAY,300535.XSHE,5600,JQ_POSITION
2026-06-16,END_OF_DAY,300605.XSHE,6400,JQ_POSITION
2026-06-16,END_OF_DAY,300886.XSHE,700,JQ_POSITION
2026-06-16,END_OF_DAY,300929.XSHE,7500,JQ_POSITION
2026-06-16,END_OF_DAY,301098.XSHE,3900,JQ_POSITION
2026-06-16,END_OF_DAY,301167.XSHE,6000,JQ_POSITION
2026-06-16,END_OF_DAY,600455.XSHG,3400,JQ_POSITION
2026-06-16,END_OF_DAY,600493.XSHG,13900,JQ_POSITION
2026-06-16,END_OF_DAY,600561.XSHG,15000,JQ_POSITION
2026-06-16,END_OF_DAY,600697.XSHG,3200,JQ_POSITION
2026-06-16,END_OF_DAY,603879.XSHG,14100,JQ_POSITION
