date,gross_value,net_value,cum_cost,daily_trade_value
2022-12-19,3118706.9500000016,2897947.0945000015,220759.85550000003,0.0
2022-12-20,3111229.1100000013,2889290.827500001,221938.28250000003,392809.0
2022-12-21,3121906.1100000013,2899967.827500001,221938.28250000003,0.0
2022-12-22,3078666.1100000013,2856727.827500001,221938.28250000003,0.0
2022-12-23,3121415.040000001,2898759.088500001,222655.95150000002,239223.0
2022-12-26,3145467.040000001,2922811.088500001,222655.95150000002,0.0
2022-12-27,3160653.040000001,2937997.088500001,222655.95150000002,0.0
2022-12-28,3137543.0700000017,2914184.5755000017,223358.49450000003,234181.0
2022-12-29,3156118.0700000017,2932759.5755000017,223358.49450000003,0.0
2022-12-30,3195119.3800000018,2970848.096500002,224271.28350000002,304263.0
2023-01-03,3185090.320000001,2944524.884500001,240565.43550000002,5431384.0
2023-01-04,3185176.120000001,2944610.684500001,240565.43550000002,0.0
2023-01-05,3185004.5200000014,2944439.0845000013,240565.43550000002,0.0
2023-01-06,3185547.9200000013,2944982.484500001,240565.43550000002,0.0
2023-01-09,3185662.3200000017,2945096.8845000016,240565.43550000002,0.0
2023-01-10,3186119.9200000013,2945554.484500001,240565.43550000002,0.0
2023-01-11,3185948.320000001,2945382.884500001,240565.43550000002,0.0
2023-01-12,3185862.5200000014,2945297.0845000013,240565.43550000002,0.0
2023-01-13,3186262.920000002,2945697.4845000017,240565.43550000002,0.0
2023-01-16,3186005.520000002,2945440.0845000017,240565.43550000002,0.0
2023-01-17,3186463.120000001,2945897.684500001,240565.43550000002,0.0
2023-01-18,3187149.5200000014,2946584.0845000013,240565.43550000002,0.0
2023-01-19,3187263.920000002,2946698.4845000017,240565.43550000002,0.0
2023-01-20,3188608.120000001,2948042.684500001,240565.43550000002,0.0
2023-01-30,3188407.9200000013,2947842.484500001,240565.43550000002,0.0
2023-01-31,3188436.5200000014,2947871.0845000013,240565.43550000002,0.0
2023-02-01,3204252.330000001,2953191.138300001,251061.19170000002,3498585.4
2023-02-02,3203589.370000001,2952510.283300001,251079.0867,5965.0
2023-02-03,3204058.370000001,2952979.283300001,251079.0867,0.0
2023-02-06,3204871.360000001,2951902.429300001,252968.93070000003,629948.0
2023-02-07,3214704.360000001,2961735.429300001,252968.93070000003,0.0
2023-02-08,3211100.360000001,2958131.429300001,252968.93070000003,0.0
2023-02-09,3226430.200000001,2971532.617300001,254897.58270000003,642884.0
2023-02-10,3235442.200000001,2980544.617300001,254897.58270000003,0.0
2023-02-13,3255273.200000001,3000375.617300001,254897.58270000003,0.0
2023-02-14,3254986.450000001,2998186.483300001,256799.96670000002,634128.0
2023-02-15,3251054.4500000007,2994254.4833000004,256799.96670000002,0.0
2023-02-16,3178922.4500000007,2922122.4833000004,256799.96670000002,0.0
2023-02-17,3185455.4700000007,2927631.4413000005,257824.02870000002,341354.0
2023-02-20,3192611.4700000007,2934787.4413000005,257824.02870000002,0.0
2023-02-21,3198622.4700000007,2940798.4413000005,257824.02870000002,0.0
2023-02-22,3201271.460000001,2943441.1523000007,257830.30770000003,2093.0
2023-02-23,3196321.460000001,2938491.1523000007,257830.30770000003,0.0
2023-02-24,3208755.460000001,2950925.1523000007,257830.30770000003,0.0
2023-02-27,3158622.7600000007,2900390.3233000007,258232.43670000002,134043.0
2023-02-28,3204184.7600000007,2945952.3233000007,258232.43670000002,0.0
2023-03-01,3237439.7600000007,2979207.3233000007,258232.43670000002,0.0
2023-03-02,3230483.5700000008,2971830.8423000006,258652.72770000002,140097.0
2023-03-03,3210988.5700000008,2952335.8423000006,258652.72770000002,0.0
2023-03-06,3198383.5700000008,2939730.8423000006,258652.72770000002,0.0
2023-03-07,3157433.3000000007,2898366.881300001,259066.4187,137897.0
2023-03-08,3208147.3000000007,2949080.881300001,259066.4187,0.0
2023-03-09,3256138.3000000007,2997071.881300001,259066.4187,0.0
2023-03-10,3207024.9300000006,2947035.264300001,259989.6657,307749.0
2023-03-13,3178923.9300000006,2918934.264300001,259989.6657,0.0
2023-03-14,3134702.9300000006,2874713.264300001,259989.6657,0.0
2023-03-15,3181906.540000001,2920722.814300001,261183.7257,398020.0
2023-03-16,3178259.540000001,2917075.814300001,261183.7257,0.0
2023-03-17,3155470.540000001,2894286.814300001,261183.7257,0.0
2023-03-20,3120145.190000001,2857380.137300001,262765.0527,527109.0
2023-03-21,3186213.190000001,2923448.137300001,262765.0527,0.0
2023-03-22,3236793.190000001,2974028.137300001,262765.0527,0.0
2023-03-23,3201191.5500000007,2937165.0783000006,264026.4717,420473.0
2023-03-24,3199974.5500000007,2935948.0783000006,264026.4717,0.0
2023-03-27,3170707.5500000007,2906681.0783000006,264026.4717,0.0
2023-03-28,3144356.770000001,2879519.296300001,264837.4737,270334.0
2023-03-29,3094675.770000001,2829838.296300001,264837.4737,0.0
2023-03-30,3061936.770000001,2797099.296300001,264837.4737,0.0
2023-03-31,3087907.3100000005,2823061.6493000006,264845.66069999995,2729.0
2023-04-03,3085970.040000001,2804514.307800001,281455.73219999997,5536690.5
2023-04-04,3086602.540000001,2805146.807800001,281455.73219999997,0.0
2023-04-06,3087125.040000001,2805669.307800001,281455.73219999997,0.0
2023-04-07,3087482.540000001,2806026.807800001,281455.73219999997,0.0
2023-04-10,3087290.040000001,2805834.307800001,281455.73219999997,0.0
