date,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,jq_tax,local_tax,match_status,diff_reason
2020-08-18,300312.XSHE,sell,4100,4100,0,5.6,5.6,0.0,22960.0,22960.0,0.0,27.96,5.0,0,22.96,exact_match,unknown
2020-08-18,600365.XSHG,buy,7000,6900,-100,3.59,3.59,0.0,25130.0,24771.0,-359.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-08-18,600561.XSHG,buy,400,300,-100,5.26,5.26,0.0,2104.0,1578.0,-526.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-08-18,600768.XSHG,sell,100,100,0,10.75,10.75,0.0,1075.0,1075.0,0.0,6.08,5.0,0,1.07,exact_match,unknown
2020-08-20,600365.XSHG,sell,2200,2200,0,3.81,3.81,0.0,8382.0,8382.0,0.0,13.38,5.0,0,8.38,exact_match,unknown
2020-08-21,000502.XSHE,buy,200,200,0,7.27,7.27,0.0,1454.0,1454.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-08-21,002209.XSHE,buy,100,100,0,7.31,7.31,0.0,731.0,731.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-08-21,002633.XSHE,buy,200,200,0,9.0,9.0,0.0,1800.0,1800.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-08-21,300029.XSHE,sell,300,300,0,6.26,6.26,0.0,1878.0,1878.0,0.0,6.88,5.0,0,1.88,exact_match,unknown
2020-08-21,300478.XSHE,buy,2400,2400,0,11.33,11.33,0.0,27192.0,27192.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-08-21,300535.XSHE,buy,200,100,-100,13.17,13.17,0.0,2634.0,1317.0,-1317.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-08-21,600365.XSHG,sell,7100,7000,-100,3.79,3.79,0.0,26909.0,26530.0,-379.0,31.91,5.0,0,26.53,quantity_diff,unknown
2020-08-21,600561.XSHG,buy,0,200,200,,5.24,,0.0,1048.0,1048.0,0.0,5.0,0,0.0,missing_in_jq,unknown
